Cluster,Layer,Correlation,p_value,Significant
Cluster_0,0,-0.26454369167373654,6.340427335736815e-05,True
Cluster_0,1,-0.17998251294215417,0.007046303453208988,True
Cluster_0,2,-0.025982781307893412,0.6995779292072715,False
Cluster_0,3,0.0008895025711169208,0.9894614810108241,False
Cluster_0,4,-0.06330185085790466,0.3467408337154969,False
Cluster_0,5,0.0534642986997247,0.4269196685422084,False
Cluster_0,6,0.006564139411673043,0.9223502405623992,False
Cluster_0,7,0.0765307668334574,0.2550806906599292,False
Cluster_0,8,0.03465164395657669,0.6067585210289201,False
Cluster_0,9,-0.08932142424294891,0.1838429517373266,False
Cluster_0,10,0.042306560243779975,0.5296747047889174,False
Cluster_0,11,0.08618327648596706,0.19979182435833995,False
Cluster_0,12,0.0367206572363523,0.5854381065201266,False
Cluster_1,0,-0.521747500925583,1.8697946967637028e-06,True
Cluster_1,1,-0.22058496853017395,0.058949027804555486,False
Cluster_1,2,-0.32081451314328024,0.005322500389146301,True
Cluster_1,3,-0.12444279896334688,0.29079216464740737,False
Cluster_1,4,-0.03155868196964087,0.7895286868515894,False
Cluster_1,5,0.08158459829692705,0.48955155232251935,False
Cluster_1,6,-0.1359052202887819,0.24826923197598585,False
Cluster_1,7,-0.05436504998148833,0.6454843217449255,False
Cluster_1,8,0.2170011106997408,0.06329265880461221,False
Cluster_1,9,0.10329507589781561,0.38114094608415316,False
Cluster_1,10,0.20450203628285818,0.0805046109587854,False
Cluster_1,11,0.28165864494631615,0.015052727107812545,True
Cluster_1,12,0.06716031099592742,0.569667268668236,False
Cluster_2,0,-0.2167818740399386,0.08790468757435316,False
Cluster_2,1,-0.11971966205837174,0.3500027956849461,False
Cluster_2,2,-0.12653609831029186,0.3230466538884147,False
Cluster_2,3,-0.08654953917050691,0.5000084025493062,False
Cluster_2,4,-0.03129800307219662,0.8076140418414667,False
Cluster_2,5,0.07843701996927804,0.5411664191926189,False
Cluster_2,6,-0.013056835637480798,0.9191024252965319,False
Cluster_2,7,0.04459485407066053,0.7285572392874383,False
Cluster_2,8,0.17362711213517665,0.1735492745764037,False
Cluster_2,9,0.16685867895545317,0.19119115661114416,False
Cluster_2,10,0.21846198156682028,0.08541251913678875,False
Cluster_2,11,0.34456605222734255,0.005685719755259358,True
Cluster_2,12,-0.22393433179723501,0.07767946999069528,False
Cluster_3,0,0.0005602240896358543,0.9974515946977411,False
Cluster_3,1,0.060784313725490195,0.7286920218050521,False
Cluster_3,2,-0.09187675070028012,0.5996371451651699,False
Cluster_3,3,0.014285714285714287,0.9350840196349213,False
Cluster_3,4,-0.16302521008403362,0.34941540337778154,False
Cluster_3,5,-0.08683473389355742,0.6198923733533046,False
Cluster_3,6,-0.17899159663865546,0.30356928234712466,False
Cluster_3,7,-0.09131652661064427,0.6018735651526205,False
Cluster_3,8,-0.09131652661064427,0.6018735651526205,False
Cluster_3,9,-0.002240896358543417,0.9898066267296973,False
Cluster_3,10,-0.01680672268907563,0.9236591550087137,False
Cluster_3,11,-0.06302521008403361,0.719087396446768,False
Cluster_3,12,0.2938375350140056,0.08665991803885245,False
Cluster_4,0,-0.03065134099616858,0.8769529401457652,False
Cluster_4,1,-0.013136288998357963,0.9471037547724636,False
Cluster_4,2,-0.01696770662287904,0.9317071794908974,False
Cluster_4,3,0.09031198686371099,0.6476464848801653,False
Cluster_4,4,-0.0240831964969896,0.9031813149903167,False
Cluster_4,5,-0.03721948549534756,0.8508510986875693,False
Cluster_4,6,-0.2556102900930487,0.18923976124861827,False
Cluster_4,7,-0.16639299397920088,0.3974139427485063,False
Cluster_4,8,-0.20799124247400108,0.28820031258385626,False
Cluster_4,9,-0.19211822660098524,0.32737790819198875,False
Cluster_4,10,-0.1713191023535851,0.3833858282862954,False
Cluster_4,11,-0.18007662835249041,0.35916389210623445,False
Cluster_4,12,0.12807881773399013,0.5160063871978267,False
Cluster_5,0,-0.3487684729064039,0.06370075962626161,False
Cluster_5,1,-0.010344827586206895,0.9575252090147448,False
Cluster_5,2,-0.11527093596059108,0.5515506379858526,False
Cluster_5,3,-0.06798029556650244,0.72604772366202,False
Cluster_5,4,0.17290640394088666,0.3697434890533642,False
Cluster_5,5,0.5172413793103448,0.004061456506390692,True
Cluster_5,6,0.24581280788177334,0.19867229298184313,False
Cluster_5,7,0.17980295566502458,0.3506577360844545,False
Cluster_5,8,0.29113300492610833,0.1254619116125949,False
Cluster_5,9,0.28226600985221667,0.13792971320111486,False
Cluster_5,10,0.3926108374384235,0.035143378207432796,True
Cluster_5,11,0.34433497536945806,0.06738033679038291,False
Cluster_5,12,-0.001970443349753694,0.9919060867792221,False
Cluster_6,0,-0.027472527472527472,0.8918039077496238,False
Cluster_6,1,-0.0641025641025641,0.7507486743218751,False
Cluster_6,2,-0.0995115995115995,0.6214200250421619,False
Cluster_6,3,-0.10561660561660562,0.6000686430690877,False
Cluster_6,4,-0.1684981684981685,0.40082767601043134,False
Cluster_6,5,-0.115995115995116,0.5645080141147472,False
Cluster_6,6,-0.13308913308913306,0.508111007700559,False
Cluster_6,7,-0.0995115995115995,0.6214200250421619,False
Cluster_6,8,-0.05616605616605617,0.7808149971448438,False
Cluster_6,9,0.3107448107448107,0.11465351355860309,False
Cluster_6,10,0.2838827838827839,0.1512822807898066,False
Cluster_6,11,0.28937728937728935,0.1431848593956771,False
Cluster_6,12,0.13003663003663005,0.5179742160880176,False
Cluster_7,0,-0.5688835534213685,1.62878628404475e-05,True
Cluster_7,1,-0.5250900360144057,9.038787954687972e-05,True
Cluster_7,2,-0.4801440576230492,0.0004176353291659921,True
Cluster_7,3,-0.39207683073229294,0.004862650065166999,True
Cluster_7,4,-0.44096038415366146,0.0013497589174458085,True
Cluster_7,5,-0.16984393757503002,0.23832144880306996,False
Cluster_7,6,-0.44067226890756306,0.0013607646092182572,True
Cluster_7,7,-0.33080432172869145,0.01895254423321096,True
Cluster_7,8,-0.29939975990396156,0.03466510430822521,True
Cluster_7,9,-0.2970948379351741,0.03615249854156783,True
Cluster_7,10,-0.1845378151260504,0.1995178510641446,False
Cluster_7,11,-0.0480672268907563,0.7402807314813461,False
Cluster_7,12,-0.08062424969987995,0.5778093067048342,False
Cluster_8,0,-0.2568372803666921,0.14256238926334952,False
Cluster_8,1,-0.3090909090909091,0.07528488915568052,False
Cluster_8,2,-0.3194805194805195,0.06550461137174174,False
Cluster_8,3,-0.29258976317799845,0.09310589841228212,False
Cluster_8,4,-0.3830404889228418,0.025351637541861004,True
Cluster_8,5,-0.2971734148204736,0.08786100393043934,False
Cluster_8,6,-0.3894576012223071,0.02280441644941977,True
Cluster_8,7,-0.38273491214667676,0.025478551676255557,True
Cluster_8,8,0.018487394957983194,0.9173473745966143,False
Cluster_8,9,0.120244461420932,0.4981659879476589,False
Cluster_8,10,0.1893048128342246,0.28359783759279583,False
Cluster_8,11,0.25622612681436213,0.14354824142987674,False
Cluster_8,12,-0.28953399541634833,0.09673319153207798,False
Cluster_9,0,-0.22194702153561982,0.04373781161946216,True
Cluster_9,1,-0.19417740649007179,0.07857828815726489,False
Cluster_9,2,-0.19606649594895262,0.07565933799942404,False
Cluster_9,3,-0.16602997355274757,0.13358899412502487,False
Cluster_9,4,-0.23917971537718816,0.029428546876615076,True
Cluster_9,5,-0.17612610721632171,0.11122110074291852,False
Cluster_9,6,-0.1836404852860921,0.09654544152699497,False
Cluster_9,7,-0.10813987657948866,0.3304949598546588,False
Cluster_9,8,0.11055371311028084,0.3197501135268848,False
Cluster_9,9,0.13838629780445824,0.2121585494912633,False
Cluster_9,10,0.1277864069518492,0.24962491391825775,False
Cluster_9,11,0.19409344695856592,0.07871007749420328,False
