Cluster,Layer,Correlation,p_value
Cluster_0,0,-0.45006798653612,3.054178933410406e-08
Cluster_0,1,-0.30138562788077417,0.00032793351386472186
Cluster_0,2,-0.2947822926345058,0.0004485602339221317
Cluster_0,3,-0.2502006464784232,0.0030795801224736763
Cluster_0,4,-0.13882530531573978,0.1044041268648813
Cluster_0,5,0.048143611226683765,0.5749745277755673
Cluster_0,6,-0.19340557008987536,0.023035881800761833
Cluster_0,7,-0.19013130219805346,0.025506976354219724
Cluster_0,8,0.08142515152737821,0.34241413862365966
Cluster_0,9,0.020618297812518588,0.8103050279574237
Cluster_0,10,0.20093592957887713,0.018120477106528157
Cluster_0,11,0.3105919376017127,0.00020926002083999798
Cluster_0,12,0.004084843276477935,0.9620750717108225
Cluster_1,0,-0.020853985423637814,0.26878139838762566
Cluster_1,1,0.06167214950271644,0.0010633943669802113
Cluster_1,2,0.06538563489390233,0.0005191137659422772
Cluster_1,3,0.09147669867388286,1.1702123831598059e-06
Cluster_1,4,0.07733645645244298,4.01165548842111e-05
Cluster_1,5,0.08902187182540865,2.249062633656947e-06
Cluster_1,6,0.03923890758860469,0.037398322294563524
Cluster_1,7,0.03783722052577858,0.04475141551868013
Cluster_1,8,0.024079816733278085,0.20160816495445544
Cluster_1,9,-0.0046850300564755445,0.8038106756598586
Cluster_1,10,0.02657871812165674,0.15867325461017223
Cluster_1,11,0.0018329278656896864,0.9225767170796373
Cluster_1,12,0.1434029720719989,2.117677905131033e-14
Cluster_2,0,0.20962341358186648,0.00623162550290039
Cluster_2,1,0.2071147847309882,0.00689506915007456
Cluster_2,2,0.21952367134618506,0.0041347722687143105
Cluster_2,3,0.19468600809516984,0.011198204474241668
Cluster_2,4,0.21303082273957585,0.00542182822868202
Cluster_2,5,0.07338050170391279,0.3430553520404006
Cluster_2,6,0.09685694166864865,0.21029931525500217
Cluster_2,7,0.06545059910740497,0.39785967386057297
Cluster_2,8,0.00803183895219266,0.9174545330834174
Cluster_2,9,0.0009174272011636252,0.9905548312843863
Cluster_2,10,0.0066681294133356175,0.9314320137992915
Cluster_2,11,-0.03794767309311765,0.6242506965325199
Cluster_2,12,-0.08464446900708841,0.27387766573968797
Cluster_3,0,-0.20256220724856447,0.00011119863881294974
Cluster_3,1,-0.026057795552512412,0.6226582251396993
Cluster_3,2,-0.041969468262243036,0.42790367819528197
Cluster_3,3,-0.016825913073248162,0.7507002154184454
Cluster_3,4,-0.051219765228261833,0.3331808151618001
Cluster_3,5,0.033989770882287336,0.5209032103235243
Cluster_3,6,-0.06520829118750097,0.21775339457764303
Cluster_3,7,-0.0669016458920133,0.20601414201370666
Cluster_3,8,-0.03971395556882329,0.45316810547543607
Cluster_3,9,0.030069041357381098,0.5701242529357824
Cluster_3,10,0.0600115155381958,0.25674721550953494
Cluster_3,11,0.11659482423242713,0.027175241757399566
Cluster_3,12,0.05493274821950068,0.2992788725286198
Cluster_4,0,-0.3615787850755473,0.013548082664107631
Cluster_4,1,0.2942337341967314,0.04716117421858287
Cluster_4,2,0.3799568300955905,0.00919931100887201
Cluster_4,3,0.4558125192722787,0.0014556246255014121
Cluster_4,4,0.4658032685784767,0.0011050278798296128
Cluster_4,5,0.6360160345359235,2.0344391556266136e-06
Cluster_4,6,0.3848905334566759,0.008260741088516047
Cluster_4,7,0.3954979956830096,0.006518770403113262
Cluster_4,8,0.23700277520814061,0.1127661589842987
Cluster_4,9,0.3108849830403947,0.03547295593400026
Cluster_4,10,0.2506938020351526,0.09286997124542683
Cluster_4,11,0.21961147086031452,0.14252407422220043
Cluster_4,12,0.4497687326549491,0.0017128543048321085
Cluster_5,0,-0.564071400869496,1.1428699600789528e-10
Cluster_5,1,-0.40012373864389383,1.354896836420119e-05
Cluster_5,2,-0.4117383800610646,7.134648237000921e-06
Cluster_5,3,-0.31392879493444803,0.0007929450707875013
Cluster_5,4,-0.27559652919194566,0.0034154588128906633
Cluster_5,5,-0.012891506038401125,0.8931744300858266
Cluster_5,6,-0.15369325459737107,0.10728588453440961
Cluster_5,7,-0.17579924759310447,0.06495107226339317
Cluster_5,8,-0.06807750721095761,0.47773756838330483
Cluster_5,9,0.011816482560045685,0.9020363250270544
Cluster_5,10,0.10980158172394476,0.25129539867731154
Cluster_5,11,0.3383998395825635,0.0002804824260611003
Cluster_5,12,-0.12925731275671218,0.17635165818425308
Cluster_6,0,-0.11441679008777951,0.272169509626865
Cluster_6,1,-0.10480800491276235,0.31473926878589886
Cluster_6,2,-0.13499259473322978,0.1945497033032154
Cluster_6,3,-0.11018314489036593,0.2904227169616201
Cluster_6,4,-0.026984069645630892,0.7962781797730312
Cluster_6,5,-0.005642452046382256,0.9569558274601018
Cluster_6,6,-0.02727305566593216,0.7941444361713966
Cluster_6,7,-0.05229924502402196,0.6166397248724205
Cluster_6,8,0.16399234187046202,0.11424342084905724
Cluster_6,9,0.19274645089043818,0.06271086511665809
Cluster_6,10,0.2281472383773435,0.02699233218361611
Cluster_6,11,0.2666835241845176,0.00937048228958784
Cluster_6,12,-0.1902900697178774,0.06619957527414355
Cluster_7,0,-0.06337285902503292,0.6791880764460981
Cluster_7,1,0.11488801054018445,0.45235276408682745
Cluster_7,2,0.12450592885375492,0.41513752450533226
Cluster_7,3,0.09420289855072463,0.5382108362362139
Cluster_7,4,0.15968379446640316,0.2947354145960596
Cluster_7,5,0.10974967061923584,0.47295581276783405
Cluster_7,6,0.0613965744400527,0.688678370213444
Cluster_7,7,0.01844532279314888,0.9042746526000423
Cluster_7,8,-0.12160737812911723,0.4261650627294922
Cluster_7,9,-0.1968379446640316,0.194977586761493
Cluster_7,10,-0.13530961791831356,0.37549490419073406
Cluster_7,11,-0.08774703557312252,0.5665306706611912
Cluster_7,12,0.029644268774703556,0.8467191429021874
Cluster_8,0,-0.496045639482221,6.981168685306479e-13
Cluster_8,1,-0.410041436591027,6.7802563682261696e-09
Cluster_8,2,-0.3876159406655888,5.007781688444027e-08
Cluster_8,3,-0.3285907541495342,4.960083994461327e-06
Cluster_8,4,-0.29195505236701585,5.5231525967961134e-05
Cluster_8,5,-0.10214574582974996,0.16650021040775057
Cluster_8,6,-0.19761710153936551,0.0070112832361666315
Cluster_8,7,-0.17083993737146572,0.020069598674273992
Cluster_8,8,0.11568121567014185,0.11687201756494156
Cluster_8,9,0.26624779966378054,0.00024912205939081
Cluster_8,10,0.2564707610624137,0.000425304447187361
Cluster_8,11,0.3411520264826851,2.013533744935277e-06
Cluster_8,12,-0.15915525326224272,0.03047317209490148
Cluster_9,0,-0.003727563716037229,0.9813085558187405
Cluster_9,1,0.08014261989480041,0.6138945537940039
Cluster_9,2,0.14505084895014433,0.35939004126428953
Cluster_9,3,0.14715773278964364,0.35237796961071666
Cluster_9,4,0.21425387967831375,0.1730391895391554
Cluster_9,5,0.2172521374499089,0.1669606961300865
Cluster_9,6,0.2634415139312398,0.09185439817910113
Cluster_9,7,0.24415542340043847,0.11917545366917223
Cluster_9,8,0.13864916343781952,0.3812080855103387
Cluster_9,9,0.08751671333304799,0.5815542201180308
Cluster_9,10,0.1744661887093077,0.2691380688228004
Cluster_9,11,0.1541266562587567,0.3297833690308023
Cluster_9,12,-0.3567926748198243,0.020372335284426397
Cluster_10,0,-0.39051831673297677,0.039916504275729285
Cluster_10,1,-0.6108528617528459,0.0005551330471477512
Cluster_10,2,-0.6135933411685158,0.0005157574763591778
Cluster_10,3,-0.6182521561751549,0.00045441144183633314
Cluster_10,4,-0.5552211296147446,0.0021630747024045495
Cluster_10,5,-0.44231337768914003,0.018431798627290507
Cluster_10,6,-0.36256542669314273,0.05794165739674676
Cluster_10,7,-0.3154291807436185,0.10203940833917272
Cluster_10,8,-0.0002740479415670013,0.9988957223849708
Cluster_10,9,0.18388616879145786,0.34891660999822816
Cluster_10,10,0.32830943399726753,0.08806532769423094
Cluster_10,11,0.5404225407701265,0.00298908139704979
Cluster_10,12,-0.31844370810085554,0.098629139283907
Cluster_11,0,-0.13180431986538352,0.4574522061106743
Cluster_11,1,-0.0529052142383094,0.7663465546737349
