Cluster,Correlation,p_value,Count
Cluster_42,0.5774436090225563,0.007673261374909004,20
Cluster_34,0.5290796160361377,0.011345469832825028,22
Cluster_16,0.44749694749694746,0.019257297732284736,27
Cluster_36,0.4274421230942971,0.04722786578939321,22
Cluster_3,0.38851540616246505,0.02108526091749389,35
Cluster_28,0.3806818181818182,0.02884733790282956,33
Cluster_7,0.37950971322849214,0.008514370038048629,47
Cluster_27,0.3717948717948718,0.056186897129876935,27
Cluster_40,0.35538169748696063,0.03088714386087479,37
Cluster_64,0.34415584415584416,0.12659816458138162,21
Cluster_29,0.3388773388773389,0.037413344075971376,38
Cluster_13,0.3312682641729983,0.010380567121533098,59
Cluster_5,0.32074438970990693,0.0960845737278814,28
Cluster_31,0.29838709677419356,0.09715405984765897,32
Cluster_38,0.294890031732137,0.07228729916935947,38
Cluster_60,0.28872180451127816,0.21699266668730374,20
Cluster_48,0.28872180451127816,0.21699266668730374,20
Cluster_24,0.282258064516129,0.11753954001523755,32
Cluster_41,0.2818900700025927,0.03363991350949714,57
Cluster_12,0.2778592375366568,0.12361542900717476,32
Cluster_1,0.2557222382315197,0.017481236210277872,86
Cluster_30,0.25355778514755883,0.020726790711552312,83
Cluster_6,0.250663021189337,0.028961565255779417,76
Cluster_62,0.22456140350877193,0.35534598974510767,19
Cluster_11,0.2174089068825911,0.18367930368387306,39
Cluster_57,0.1978021978021978,0.32266681370880823,27
Cluster_0,0.17725615349414914,5.461517428630865e-08,928
Cluster_52,0.17259364627785678,0.3070155726270729,37
Cluster_22,0.16748768472906403,0.3942716966017372,28
Cluster_58,0.16662958843159065,0.37882530745394083,30
Cluster_43,0.16566604127579737,0.3069605391054882,40
Cluster_18,0.16558819615410206,0.07964032101040878,113
Cluster_53,0.15951056729699667,0.39980933421194187,30
Cluster_4,0.14465290806754225,0.37316976112315814,40
Cluster_21,0.1412796697626419,0.06530318089679607,171
Cluster_45,0.12723056824412515,0.49520160365922783,31
Cluster_14,0.12393162393162394,0.5379752912344229,27
Cluster_37,0.10461229946524064,0.5623370757961761,33
Cluster_15,0.10122655122655126,0.462117159025783,55
Cluster_25,0.08326967150496561,0.639645372173965,34
Cluster_9,0.06825732407127756,0.6636264492339239,43
Cluster_51,0.06654456654456653,0.7415663079965014,27
Cluster_44,0.06105006105006105,0.7622732628344434,27
Cluster_63,0.0608695652173913,0.7775281884531549,24
Cluster_61,0.05335968379446641,0.8089311975158359,23
Cluster_56,0.05263157894736842,0.825581450455932,20
Cluster_23,0.028092243186582804,0.8401947499291046,54
Cluster_33,0.023682200152788387,0.8942383976563815,34
Cluster_2,0.01293921706616289,0.9070044244045321,84
Cluster_49,0.012845849802371542,0.9536107425920655,23
Cluster_10,0.004510377394533521,0.9768189102287017,44
Cluster_59,-0.018045112781954885,0.9398091995407436,20
Cluster_50,-0.02317073170731708,0.8856615503285762,41
Cluster_26,-0.033059184002580226,0.8142089396751242,53
Cluster_47,-0.05161656267725468,0.74545740311371,42
Cluster_54,-0.06349206349206347,0.7530495074287785,27
Cluster_8,-0.07461538461538461,0.722985560826711,25
Cluster_17,-0.07977892128835523,0.5663396455674169,54
Cluster_35,-0.1645329540066382,0.330494846389334,37
Cluster_20,-0.16575052854122618,0.2822529157580429,44
Cluster_65,-0.1753246753246753,0.4471597167322825,21
Cluster_46,-0.26766917293233083,0.2538915426582106,20
Cluster_55,-0.27368421052631575,0.24296636906130623,20
Cluster_39,-0.2825540879993517,0.06982542873935194,42
Cluster_19,-0.30167414377940693,0.06567012607366506,38
Cluster_32,-0.4796992481203006,0.032326069200214205,20
