Cluster,Layer,Correlation,p_value
Cluster_0,0,-0.03230782351004131,0.0382514365052006
Cluster_0,1,0.039679102765140896,0.010919475444568028
Cluster_0,2,0.04064343536558556,0.009129292288688624
Cluster_0,3,0.06396847372843957,4.026972804223234e-05
Cluster_0,4,0.0592068484142361,0.00014485116289044133
Cluster_0,5,0.06846830484830695,1.1056220178149247e-05
Cluster_0,6,0.027608599004658303,0.07662259839411624
Cluster_0,7,0.03943539953001299,0.011418598902078171
Cluster_0,8,0.03490624328768728,0.025162113213558674
Cluster_0,9,-0.010283927540459396,0.5096177925097027
Cluster_0,10,0.019543829183132903,0.21010048982275206
Cluster_0,11,-0.006923008367216724,0.6571037516628981
Cluster_0,12,0.1205843969235503,8.471486759932585e-15
Cluster_1,0,0.17851673198416146,0.01619886498399003
Cluster_1,1,0.1410300194430078,0.058265448765813736
Cluster_1,2,0.13843248148767817,0.06310178045439895
Cluster_1,3,0.11774122472469406,0.11443530723940652
Cluster_1,4,0.10381348322989194,0.16430064915238704
Cluster_1,5,-0.01091229034291964,0.8840815852945595
Cluster_1,6,-0.004693175316251975,0.9500029150236728
Cluster_1,7,-0.01696747815931719,0.820650119336843
Cluster_1,8,-0.03841462150299132,0.6076541421576466
Cluster_1,9,-0.0376344494096687,0.614971205964306
Cluster_1,10,-0.05364973309451562,0.47318928712962605
Cluster_1,11,-0.061447406442302975,0.4112250176318114
Cluster_1,12,-0.07115756390990839,0.34114672232731
Cluster_2,0,-0.053572795241800655,0.714670052680533
Cluster_2,1,-0.1859231103439253,0.20087941152271938
Cluster_2,2,-0.24556748904646336,0.08899023803740613
Cluster_2,3,-0.25623102638506945,0.07554945454578207
Cluster_2,4,-0.2516900942169549,0.08106243954279417
Cluster_2,5,-0.13398300981425573,0.3587147105854477
Cluster_2,6,-0.1414832011481078,0.33219364427136866
Cluster_2,7,-0.029592591657375596,0.8400381486897499
Cluster_2,8,0.0579096405708988,0.6926696213523229
Cluster_2,9,0.03469476263278518,0.8129167301850402
Cluster_2,10,-0.029592591657375596,0.8400381486897499
Cluster_2,11,0.02244955229180218,0.8783120908290784
Cluster_2,12,-0.01270440572876987,0.9309588602978027
Cluster_3,0,-0.09120606306835147,0.5706275999428922
Cluster_3,1,0.004529814020586702,0.9775759449249932
Cluster_3,2,0.003048913283087203,0.9849058414348515
Cluster_3,3,0.117252493686725,0.4653362859328384
Cluster_3,4,0.0902478331793812,0.5746990557488016
Cluster_3,5,0.09355808188673302,0.5606904220827423
Cluster_3,6,-0.014983230991171397,0.9259213155590216
Cluster_3,7,0.03789363651836952,0.8140392264572205
Cluster_3,8,-0.1428633652646575,0.3728942293745807
Cluster_3,9,-0.1590661615690638,0.320531910692312
Cluster_3,10,-0.1817152316719973,0.25551322519500236
Cluster_3,11,-0.14922252725509655,0.3517659016532476
Cluster_3,12,0.008711180808820579,0.956891534706751
Cluster_4,0,0.04448766261096605,0.7796688473592436
Cluster_4,1,-0.061261699333133586,0.6999396082181493
Cluster_4,2,-0.06207203927140255,0.6961596774358587
Cluster_4,3,-0.06174790329609496,0.6976707848080899
Cluster_4,4,-0.09294599091945004,0.5582450569966543
Cluster_4,5,-0.05267209598748258,0.7404309649065511
Cluster_4,6,-0.003889631703691022,0.980496036815483
Cluster_4,7,0.05380875202593192,0.7350301219205213
Cluster_4,8,0.1085045177342141,0.49398019201721777
Cluster_4,9,0.21871074933879303,0.1640600560387182
Cluster_4,10,0.1917264293944366,0.2238500124275825
Cluster_4,11,0.07260645846889906,0.647708989627527
Cluster_4,12,0.12957335612920715,0.413445407123058
Cluster_5,0,-0.20444048294303543,0.19404405704203545
Cluster_5,1,0.017421602787456445,0.9128013316822903
Cluster_5,2,0.07787051292439837,0.624010670159904
Cluster_5,3,-0.024066121059881696,0.879753869911458
Cluster_5,4,0.158252977878616,0.31684075448459403
Cluster_5,5,0.22307754639008187,0.15559468943365845
Cluster_5,6,0.09585933068633012,0.5459203547135116
Cluster_5,7,-0.04999594846446804,0.7531950128576149
Cluster_5,8,-0.2149744753261486,0.1715639770711536
Cluster_5,9,-0.2600275504416174,0.09630029507245086
Cluster_5,10,-0.17915890122356373,0.25626751903245276
Cluster_5,11,-0.13507819463576695,0.3937108817680314
Cluster_5,12,-0.07900494287334901,0.6189511605796449
Cluster_6,0,-0.44279857970071185,1.9621662125844574e-05
Cluster_6,1,-0.416135561158263,6.749849718121991e-05
