Cluster,Layer,Correlation,p_value
Cluster_0,1,0.35568658138844483,4.634723254631292e-29
Cluster_0,2,0.3578817775754139,2.0066806637200873e-29
Cluster_0,3,0.32388532157037425,4.172239244506248e-24
Cluster_0,4,0.3360212221517834,6.273740304961646e-26
Cluster_0,5,0.3619271153077985,4.217248656782892e-30
Cluster_0,6,0.32852748521072866,8.566373999522939e-25
Cluster_0,7,0.3222462219303996,7.249414656558679e-24
Cluster_0,8,0.3776441440145015,7.926378478084026e-33
Cluster_0,9,0.37654134307361503,1.2453463200539195e-32
Cluster_0,10,0.3606998139073628,6.78562756551922e-30
Cluster_0,11,0.3730901660099106,5.063752335542246e-32
Cluster_0,12,0.36164412695697,4.7069272531874784e-30
Cluster_1,1,0.5606377966423172,1.9799818134503747e-08
Cluster_1,2,0.45927917779191796,8.667638723099251e-06
Cluster_1,3,0.311567129321114,0.0034988334780233486
Cluster_1,4,0.4472120016297976,1.5830889620780433e-05
Cluster_1,5,0.44909897210080935,1.4429407905126313e-05
Cluster_1,6,0.3306066613736231,0.0018773731747195126
Cluster_1,7,0.48512123839242466,2.2036916898133824e-06
Cluster_1,8,0.5498537604004846,4.172045680977098e-08
Cluster_1,9,0.5361637896332939,1.0355284237553653e-07
Cluster_1,10,0.5273893769430892,1.8161607210238254e-07
Cluster_1,11,0.6572789893151867,6.258589373342071e-12
Cluster_1,12,0.45419379237254126,1.1203569988005422e-05
Cluster_2,1,0.12642566784442566,0.2518144032413885
Cluster_2,2,0.14412343891770638,0.1908864848232676
Cluster_2,3,0.05094690162514215,0.645344941801267
Cluster_2,4,0.0512101407829827,0.6436369298757394
Cluster_2,5,0.05780124431199056,0.601491882252539
Cluster_2,6,-0.05623193394794107,0.6114153477729218
Cluster_2,7,-0.11216013040606612,0.30973839296457517
Cluster_2,8,0.015247621988764722,0.8905085043035368
Cluster_2,9,0.13956737657046592,0.20544257291763848
Cluster_2,10,0.07488141582264533,0.4984266082459705
Cluster_2,11,0.08630194543972806,0.4350516031986078
Cluster_2,12,0.09711500007717874,0.37950067445333646
Cluster_3,1,0.5946778711484594,0.0001650150318919191
Cluster_3,2,0.4025210084033614,0.01651837465915697
Cluster_3,3,0.3002801120448179,0.0796593649690685
Cluster_3,4,0.48935574229691886,0.0028506608479896747
Cluster_3,5,0.5285714285714287,0.0010980448214426828
Cluster_3,6,0.5470588235294118,0.0006721059676435544
Cluster_3,7,0.4722689075630252,0.004176494696752703
Cluster_3,8,0.5173669467787115,0.0014589903771097183
Cluster_3,9,0.561344537815126,0.00045091116667600223
Cluster_3,10,0.5647058823529413,0.00040940785763760013
Cluster_3,11,0.5383753501400561,0.0008493497955889157
Cluster_3,12,0.4946778711484594,0.002520805585411125
Cluster_4,1,0.43977485928705445,0.004519063842463644
Cluster_4,2,0.3954971857410882,0.011538393246567911
Cluster_4,3,0.46866791744840525,0.0022867334738747385
Cluster_4,4,0.3741088180112571,0.01740120834728778
Cluster_4,5,0.3690431519699813,0.01910809777014613
Cluster_4,6,0.4058161350844278,0.009374690644923135
Cluster_4,7,0.3485928705440901,0.027492991891956448
Cluster_4,8,0.37767354596622893,0.016278556801918854
Cluster_4,9,0.3795497185741089,0.015712641586832325
Cluster_4,10,0.5056285178236398,0.0008741585681269656
Cluster_4,11,0.4611632270168856,0.002744799405839981
Cluster_4,12,0.40881801125703565,0.008814588753886028
Cluster_5,1,0.7465790914066777,5.058301048636655e-06
Cluster_5,2,0.6458675424192666,0.0002055061307439049
Cluster_5,3,0.48002189381499727,0.009734300983573266
Cluster_5,4,0.655719759168035,0.00015190268847127184
Cluster_5,5,0.7142857142857142,1.9622039280567873e-05
Cluster_5,6,0.666119321291735,0.00010910489450881361
Cluster_5,7,0.6327312534209085,0.00030259827253390035
Cluster_5,8,0.6803503010399562,6.791740765818564e-05
Cluster_5,9,0.6431308155446086,0.00022308763135863599
Cluster_5,10,0.7208538587848933,1.511943462413587e-05
Cluster_5,11,0.7624521072796935,2.408706071035105e-06
Cluster_5,12,0.5894909688013136,0.0009633457887778036
Cluster_6,1,0.4231852358168148,0.0001396991324262341
Cluster_6,2,0.4880382775119617,7.74834771804602e-06
Cluster_6,3,0.4,0.00034356914538150745
Cluster_6,4,0.4648803827751196,2.3288237649509448e-05
Cluster_6,5,0.4914012303485988,6.559577023900203e-06
Cluster_6,6,0.38337662337662337,0.0006298627863647095
Cluster_6,7,0.3863294600136705,0.0005668759720145394
Cluster_6,8,0.4545727956254272,3.7067319904140724e-05
Cluster_6,9,0.4629391660970608,2.544775041520202e-05
Cluster_6,10,0.5272453861927546,9.913349031166824e-07
Cluster_6,11,0.5389473684210527,5.097433648417654e-07
Cluster_6,12,0.4080656185919344,0.0002530807100302946
Cluster_7,1,0.290009250693802,0.047997629542952586
Cluster_7,2,0.23068917668825162,0.11874474653104747
Cluster_7,3,0.21195652173913046,0.15263634439732196
Cluster_7,4,0.2743987049028677,0.061967000559255685
Cluster_7,5,0.3376503237742831,0.020280990099989953
Cluster_7,6,0.1498612395929695,0.3146928210670645
Cluster_7,7,0.2016651248843663,0.1740417359968867
Cluster_7,8,0.3537234042553192,0.014722444684496122
Cluster_7,9,0.37314986123959293,0.009784530490655498
Cluster_7,10,0.2145004625346901,0.14765717234414202
Cluster_7,11,0.3746530989824237,0.009470453739153483
Cluster_7,12,0.33950046253469013,0.019562369751706256
Cluster_8,1,-0.09,0.6687736167185602
Cluster_8,2,-0.1423076923076923,0.4974060918481682
Cluster_8,3,-0.14923076923076922,0.4764922925149131
Cluster_8,4,-0.0007692307692307692,0.9970883402731314
Cluster_8,5,-0.05461538461538461,0.795411725102699
Cluster_8,6,-0.21615384615384614,0.2993767800206253
Cluster_8,7,-0.1423076923076923,0.4974060918481682
Cluster_8,8,-0.13153846153846155,0.5308207561584127
Cluster_8,9,-0.23923076923076922,0.24942972084315532
Cluster_8,10,-0.16384615384615386,0.4338620362289227
Cluster_8,11,-0.22076923076923075,0.28892247278173616
Cluster_8,12,0.006923076923076924,0.9737994035133074
Cluster_9,1,0.07943219571126549,0.6126289135064318
Cluster_9,2,-0.05270311084264572,0.7371370298309388
Cluster_9,3,0.18967079432195713,0.2231481023668021
Cluster_9,4,0.08970099667774087,0.5673008687870361
Cluster_9,5,0.02959830866807611,0.8505544632746188
Cluster_9,6,0.05844155844155843,0.7097046463838173
Cluster_9,7,-0.05270311084264572,0.7371370298309388
Cluster_9,8,-0.06433101781938991,0.6819225142431149
Cluster_9,9,-0.080338266384778,0.6085679600724674
Cluster_9,10,0.09121111446692841,0.5607678337046672
Cluster_9,11,0.22153427967381453,0.15337816121701672
Cluster_9,12,0.2254605859257022,0.14603766702809726
Cluster_10,1,0.3315832131450034,0.02789382469869402
Cluster_10,2,0.3223510344155676,0.0328421469351162
Cluster_10,3,0.3176997077274549,0.03559710280615241
Cluster_10,4,0.3477923819066082,0.020705151315769804
Cluster_10,5,0.3952218191959998,0.007926182868257668
Cluster_10,6,0.30388667695669597,0.04491700711936258
Cluster_10,7,0.1860530675245078,0.2265861301068231
Cluster_10,8,0.28302618150697845,0.06265921337971816
Cluster_10,9,0.34081539187443916,0.023581314448756528
Cluster_10,10,0.2904964940666746,0.05575551093924837
Cluster_10,11,0.3612530394434192,0.01598386709651522
Cluster_10,12,0.45336340279740844,0.0019976909123311285
